"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-19","59","66","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-20","60","66","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-21","60","66","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-22","59","65","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-23","60","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-24","58","67","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-25","60","66","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-26","59","67","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-27","60","68","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-28","65","73","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-29","64","75","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-30","63","68","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-31","63","72","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-01","60","68","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-02","61","71","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-03","58","64","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-04","60","67","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-05","62","76","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-06","61","70","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-07","60","66","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-08","60","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-09","59","68","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-10","61","71","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-11","61","71","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-12","60","68","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-13","61","69","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-14","59","68","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-15","60","70","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-16","62","70","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-17","61","71","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-18","61","75","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-19","62","68","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-20","63","74","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-21","67","83","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-22","69","79","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-23","65","74","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-24","63","68","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-25","64","72","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-26","65","71","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-27","62","76","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-28","72","84","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-29","72","80","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-04-30","66","80","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-01","65","76","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-02","66","74","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-03","66","72","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-04","64","68","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-05","60","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-06","61","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-07","56","63","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-08","57","66","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-09","61","71","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-10","63","68","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-11","62","67","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-12","62","67","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-13","62","70","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-14","62","71","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-15","60","65","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-16","59","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-17","60","66","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-18","62","69","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-19","66","81","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-20","71","87","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-21","68","74","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-22","63","69","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-23","62","73","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-24","61","67","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-25","61","66","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-26","63","69","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-27","62","68","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-28","63","69","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-29","62","68","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-30","62","67","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-05-31","62","66","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-01","64","70","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-02","64","69","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-03","64","71","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-04","63","67","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-05","63","71","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-06","64","68","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-07","63","69","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-08","63","68","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-09","64","71","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-10","64","69","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-11","64","69","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-12","63","71","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-13","64","72","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-14","67","76","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-15","69","78","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-16","70","77","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-17","68","75","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-18","66","74","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-19","66","74","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-20","65","72","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-21","66","73","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-22","67","75","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-23","66","70","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-24","65","71","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-25","68","77","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-26","71","82","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-27","71","78","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-28","67","72","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-29","67","74","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-06-30","66","73","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-01","65","72","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-02","67","76","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-03","67","74","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-04","67","75","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-05","68","76","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-06","69","76","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-07","72","83","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-08","76","86","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-09","77","88","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-10","75","84","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-11","72","77","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-12","70","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-13","69","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-14","68","73","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-15","70","80","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-16","73","81","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-17","72","77","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-18","72","78","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-19","71","78","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-20","72","80","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-21","71","77","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-22","71","77","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-23","71","77","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-24","71","77","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-25","71","77","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-26","70","76","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-27","70","77","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-28","70","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-29","70","77","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-30","71","76","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-07-31","68","74","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-01","71","82","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-02","76","86","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-03","77","84","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-04","75","79","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-05","72","78","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-06","72","78","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-07","71","76","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-08","71","78","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-09","71","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-10","70","76","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-11","69","73","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-12","69","76","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-13","69","76","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-14","69","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-15","68","74","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-16","69","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-17","69","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-18","69","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-19","69","74","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-20","69","76","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-21","70","76","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-22","70","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-23","69","74","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-24","68","73","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-25","69","74","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-26","69","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-27","68","73","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-28","69","76","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-29","72","83","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-30","74","83","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-08-31","77","93","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-01","80","92","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-02","81","95","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-03","84","97","75"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-04","76","79","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-05","74","78","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-06","72","75","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-07","71","77","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-08","70","77","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-09","70","76","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-10","70","82","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-11","73","85","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-12","70","74","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-13","68","74","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-14","68","74","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-15","68","74","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-16","69","76","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-17","68","73","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-18","67","73","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-19","69","75","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-20","69","77","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-21","68","71","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-22","65","72","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-23","64","72","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-24","67","80","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-25","72","85","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-26","71","81","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-27","69","78","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-28","68","78","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-29","70","78","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-09-30","69","76","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-01","68","75","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-02","68","75","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-03","67","73","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-04","66","74","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-05","67","78","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-06","69","86","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-07","73","87","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-08","69","78","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-09","69","84","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-10","69","78","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-10-11","66","70","62"
